,Motion [Heave] (mm),Mechanical Trail [Left] [Rear] (mm),Mechanical Trail [Left] [Front] (mm),Camber Angle [Left] [Rear] (deg),Camber Angle [Left] [Front] (deg),Toe Angle [Left] [Front] (deg),Toe Angle [Left] [Rear] (deg),Lower A-Arm Chassis Fore Z [Left] [Front] (mm),Lower A-Arm Chassis Aft Z [Left] [Front] (mm),Tie Rod Chassis Z [Left] [Front] (mm),Upper A-Arm Chassis Fore Z [Left] [Front] (mm),Upper A-Arm Chassis Aft Z [Left] [Front] (mm),Lower A-Arm Chassis Fore Z [Left] [Rear] (mm),Lower A-Arm Chassis Aft Z [Left] [Rear] (mm),Upper A-Arm Chassis Fore Z [Left] [Rear] (mm),Upper A-Arm Chassis Aft Z [Left] [Rear] (mm),Tie Rod Chassis Z [Left] [Rear] (mm),Roll Center Z [Front] (mm),Roll Center Z [Rear] (mm)
Maximum Value,25.4,22.083,22.296,-1.63,-7.55E-01,1.344,1.56E-02,132.664,133.248,142.85,261.29,261.29,146.05,146.05,300.75,300.75,300.75,86.004,64.824
Minimum Value,-25.4,21.904,21.613,-2.388,-3.301,-1.073,-9.31E-02,81.864,82.448,92.05,210.49,210.49,95.25,95.25,249.95,249.95,2.50E+02,1.92E-01,-33.708
Average Value,0,22.014,22.029,-2.004,-2.013,6.27E-02,-1.93E-02,107.264,107.848,117.45,235.89,235.89,120.65,120.65,275.35,275.35,275.35,42.933,15.488
Start Value,0,22.031,22.092,-2,-2,0,0,107.264,107.848,117.45,235.89,235.89,120.65,120.65,275.35,275.35,275.35,42.792,15.427
End Value,0,22.031,22.092,-2,-2,0,0,107.264,107.848,117.45,235.89,235.89,120.65,120.65,275.35,275.35,275.35,42.792,15.427
Max Absolute Value,25.4,22.083,22.296,2.388,3.301,1.344,9.31E-02,132.664,133.248,142.85,261.29,261.29,146.05,146.05,300.75,300.75,300.75,86.004,64.824
Variance Value,298.45,3.86E-03,5.71E-02,6.62E-02,7.49E-01,6.78E-01,1.44E-03,298.45,298.45,298.45,298.45,298.45,298.45,298.45,298.45,298.45,298.45,851.24,"1,121.86"
Std Deviation Value,17.276,6.22E-02,2.39E-01,2.57E-01,8.66E-01,8.23E-01,3.79E-02,17.276,17.276,17.276,17.276,17.276,17.276,17.276,17.276,17.276,17.276,29.176,33.494
Step [0],0,22.031,22.092,-2,-2,0,0,107.264,107.848,117.45,235.89,235.89,120.65,120.65,275.35,275.35,275.35,42.792,15.427
Step [1],7.518,22.054,22.184,-1.889,-1.626,3.69E-01,1.15E-02,114.783,115.367,124.968,243.408,243.408,128.168,128.168,282.868,282.868,282.868,55.509,30
Step [2],14.427,22.07,22.245,-1.788,-1.287,7.30E-01,1.56E-02,121.691,122.276,131.877,250.317,250.317,135.077,135.077,289.777,289.777,289.777,67.246,43.422
Step [3],20.117,22.078,22.279,-1.706,-1.01,1.042,1.43E-02,127.381,127.965,137.566,256.007,256.007,140.767,140.767,295.467,295.467,295.467,76.954,54.504
Step [4],23.978,22.082,22.292,-1.651,-8.23E-01,1.261,1.11E-02,131.242,131.826,141.427,259.867,259.867,144.628,144.628,299.328,299.328,299.328,83.564,62.042
Step [5],25.4,22.083,22.296,-1.63,-7.55E-01,1.344,9.46E-03,132.664,133.248,142.85,261.29,261.29,146.05,146.05,300.75,300.75,300.75,86.004,64.824
