,Camber Angle [Left] [Rear] (deg),Toe Angle [Left] [Rear] (deg),Toe Angle [Left] [Front] (deg),Camber Angle [Left] [Front] (deg),Mechanical Trail [Left] [Front] (mm),Mechanical Trail [Left] [Rear] (mm),Upper A-Arm Chassis Aft Z [Left] [Rear] (mm),Upper A-Arm Chassis Fore Z [Left] [Rear] (mm),Tie Rod Chassis Z [Left] [Rear] (mm),Roll Center Z [Rear] (mm),Roll Center Z [Front] (mm),Scrub Radius [Left] [Front] (mm),Scrub Radius [Left] [Rear] (mm),Wheel Center X [Left] [Rear] (mm),Wheel Center Y [Left] [Rear] (mm),Wheel Center Z [Left] [Rear] (mm),Motion [Heave] (mm),Lower A-Arm Chassis Aft Z [Left] [Rear] (mm),Lower A-Arm Chassis Fore Z [Left] [Rear] (mm)
Maximum Value,-1.7,0.0959,0.261,-0.958,22.096,0.719,302.42,301.4,146.201,54.738,73.941,5.665,8.828,-1529.48,588.542,203.111,25.4,146.05,146.05
Minimum Value,-2.483,0,-0.0307,-3.102,22.025,-0.208,251.62,250.6,95.401,-21.862,-11.882,5.561,8.8,-1530.049,586.607,203.009,-25.4,95.25,95.25
Average Value,-2.042,0.0381,0.0608,-2.014,22.076,0.118,277.02,276,120.801,16.35,30.898,5.633,8.813,-1529.873,587.91,203.069,0,120.65,120.65
Start Value,-2,0,0,-2,22.092,0,277.02,276,120.801,16.274,30.785,5.656,8.812,-1530,588.437,203.076,0,120.65,120.65
End Value,-2,0,0,-2,22.092,0,277.02,276,120.801,16.274,30.785,5.656,8.812,-1530,588.437,203.076,0,120.65,120.65
Max Absolute Value,2.483,0.0959,0.261,3.102,22.096,0.719,302.42,301.4,146.201,54.738,73.941,5.665,8.828,1530.049,588.542,203.111,25.4,146.05,146.05
Variance Value,0.072,0,0.00998,0.531,0,0.107,298.45,298.45,298.45,678.366,851.457,0.00124,0,0.0372,0.388,0.0012,298.45,298.45,298.45
Std Deviation Value,0.268,0.0307,0.0999,0.729,0.0239,0.327,17.276,17.276,17.276,26.045,29.18,0.0352,0.00946,0.193,0.623,0.0346,17.276,17.276,17.276
Step [0],-2,0,0,-2,22.092,0,277.02,276,120.801,16.274,30.785,5.656,8.812,-1530,588.437,203.076,0,120.65,120.65
Step [1],-1.892,0.00944,-0.0265,-1.686,22.082,0.158,284.538,283.518,128.319,27.619,43.498,5.664,8.808,-1530.047,588.542,203.089,7.518,128.168,128.168
Step [2],-1.807,0.0317,-0.0307,-1.402,22.066,0.344,291.447,290.427,135.228,38.072,55.223,5.665,8.805,-1530.049,588.463,203.099,14.427,135.077,135.077
Step [3],-1.747,0.0604,-0.02,-1.171,22.047,0.526,297.137,296.117,140.918,46.703,64.913,5.66,8.803,-1530.02,588.27,203.106,20.117,140.767,140.767
Step [4],-1.711,0.0855,-0.00536,-1.015,22.031,0.665,300.998,299.978,144.779,52.573,71.508,5.654,8.801,-1529.986,588.072,203.109,23.978,144.628,144.628
Step [5],-1.7,0.0959,0.00151,-0.958,22.025,0.719,302.42,301.4,146.201,54.738,73.941,5.651,8.8,-1529.97,587.986,203.111,25.4,146.05,146.05
Step [6],-1.711,0.0855,-0.00536,-1.015,22.031,0.665,300.998,299.978,144.779,52.573,71.508,5.654,8.801,-1529.986,588.072,203.109,23.978,144.628,144.628
Step [7],-1.747,0.0604,-0.02,-1.171,22.047,0.526,297.137,296.117,140.918,46.703,64.913,5.66,8.803,-1530.02,588.27,203.106,20.117,140.767,140.767
Step [8],-1.807,0.0317,-0.0307,-1.402,22.066,0.344,291.447,290.427,135.228,38.072,55.223,5.665,8.805,-1530.049,588.463,203.099,14.427,135.077,135.077
Step [9],-1.892,0.00944,-0.0265,-1.686,22.082,0.158,284.538,283.518,128.319,27.619,43.498,5.664,8.808,-1530.047,588.542,203.089,7.518,128.168,128.168
Step [10],-2,0,0,-2,22.092,0,277.02,276,120.801,16.274,30.785,5.656,8.812,-1530,588.437,203.076,0,120.65,120.65
Step [11],-2.124,0.00491,0.0494,-2.319,22.096,-0.113,269.502,268.482,113.283,4.958,18.114,5.638,8.816,-1529.905,588.132,203.06,-7.518,113.132,113.132
Step [12],-2.252,0.0213,0.115,-2.617,22.095,-0.179,262.593,261.573,106.374,-5.418,6.504,5.614,8.82,-1529.774,587.676,203.043,-14.427,106.223,106.223
Step [13],-2.367,0.0428,0.185,-2.867,22.092,-0.205,256.903,255.883,100.684,-13.95,-3.037,5.589,8.824,-1529.635,587.174,203.027,-20.117,100.533,100.533
Step [14],-2.451,0.0614,0.24,-3.038,22.089,-0.208,253.042,252.022,96.823,-19.733,-9.502,5.569,8.827,-1529.524,586.769,203.014,-23.978,96.672,96.672
Step [15],-2.483,0.069,0.261,-3.102,22.088,-0.207,251.62,250.6,95.401,-21.862,-11.882,5.561,8.828,-1529.48,586.607,203.009,-25.4,95.25,95.25
Step [16],-2.451,0.0614,0.24,-3.038,22.089,-0.208,253.042,252.022,96.823,-19.733,-9.502,5.569,8.827,-1529.524,586.769,203.014,-23.978,96.672,96.672
Step [17],-2.367,0.0428,0.185,-2.867,22.092,-0.205,256.903,255.883,100.684,-13.95,-3.037,5.589,8.824,-1529.635,587.174,203.027,-20.117,100.533,100.533
Step [18],-2.252,0.0213,0.115,-2.617,22.095,-0.179,262.593,261.573,106.374,-5.418,6.504,5.614,8.82,-1529.774,587.676,203.043,-14.427,106.223,106.223
Step [19],-2.124,0.00491,0.0494,-2.319,22.096,-0.113,269.502,268.482,113.283,4.958,18.114,5.638,8.816,-1529.905,588.132,203.06,-7.518,113.132,113.132
Step [20],-2,0,0,-2,22.092,0,277.02,276,120.801,16.274,30.785,5.656,8.812,-1530,588.437,203.076,0,120.65,120.65
