,Motion [Heave] (mm),Mechanical Trail [Left] [Rear] (mm),Camber Angle [Left] [Rear] (deg),Mechanical Trail [Left] [Front] (mm),Toe Angle [Left] [Front] (deg),Toe Angle [Left] [Rear] (deg),Camber Angle [Left] [Front] (deg),Lower A-Arm Chassis Fore Z [Left] [Front] (mm),Lower A-Arm Chassis Aft Z [Left] [Front] (mm),Lower A-Arm Chassis Fore Z [Left] [Rear] (mm),Lower A-Arm Chassis Aft Z [Left] [Rear] (mm),Upper A-Arm Chassis Fore Z [Left] [Front] (mm),Upper A-Arm Chassis Aft Z [Left] [Front] (mm),Upper A-Arm Chassis Fore Z [Left] [Rear] (mm),Upper A-Arm Chassis Aft Z [Left] [Rear] (mm),Tie Rod Chassis Z [Left] [Front] (mm),Tie Rod Chassis Z [Left] [Rear] (mm),Roll Center Z [Front] (mm),Roll Center Z [Rear] (mm)
Maximum Value,25.4,49.949,-1.197,22.667,1.326,8.64E-02,-7.69E-01,132.664,133.248,120.65,120.65,261.29,261.29,260.35,260.35,142.85,260.35,86.842,36.63
Minimum Value,-25.4,49.444,-2.828,21.312,-1.061,-1.31E-01,-3.285,81.864,82.448,69.85,69.85,210.49,210.49,209.55,209.55,92.05,209.55,4.49E-01,-59.157
Average Value,0,49.714,-2.006,22.045,6.13E-02,-1.03E-02,-2.013,107.264,107.848,95.25,95.25,235.89,235.89,234.95,234.95,117.45,234.95,43.444,-11.293
Start Value,0,49.729,-2,22.092,0,0,-2,107.264,107.848,95.25,95.25,235.89,235.89,234.95,234.95,117.45,234.95,43.271,-11.318
End Value,0,49.729,-2,22.092,0,0,-2,107.264,107.848,95.25,95.25,235.89,235.89,234.95,234.95,117.45,234.95,43.271,-11.318
Max Absolute Value,25.4,49.949,2.828,22.667,1.326,1.31E-01,3.285,132.664,133.248,120.65,120.65,261.29,261.29,260.35,260.35,142.85,260.35,86.842,59.157
Variance Value,298.45,2.95E-02,3.07E-01,2.15E-01,6.61E-01,5.50E-03,7.31E-01,298.45,298.45,298.45,298.45,298.45,298.45,298.45,298.45,298.45,298.45,862.808,"1,060.46"
Std Deviation Value,17.276,1.72E-01,5.54E-01,4.63E-01,8.13E-01,7.42E-02,8.55E-01,17.276,17.276,17.276,17.276,17.276,17.276,17.276,17.276,17.276,17.276,29.374,32.565
Step [0],0,49.729,-2,22.092,0,0,-2,107.264,107.848,95.25,95.25,235.89,235.89,234.95,234.95,117.45,234.95,43.271,-11.318
Step [1],7.518,49.8,-1.76,22.286,3.65E-01,3.00E-02,-1.631,114.783,115.367,102.768,102.768,243.408,243.408,242.468,242.468,124.968,242.468,56.08,2.848
Step [2],14.427,49.861,-1.542,22.447,7.21E-01,5.43E-02,-1.295,121.691,122.276,109.677,109.677,250.317,250.317,249.377,249.377,131.877,249.377,67.912,15.881
Step [3],20.117,49.908,-1.363,22.566,1.028,7.19E-02,-1.022,127.381,127.965,115.367,115.367,256.007,256.007,255.067,255.067,137.566,255.067,77.706,26.631
Step [4],23.978,49.938,-1.242,22.641,1.245,8.26E-02,-8.37E-01,131.242,131.826,119.228,119.228,259.867,259.867,258.928,258.928,141.427,258.928,84.378,33.936
Step [5],25.4,49.949,-1.197,22.667,1.326,8.64E-02,-7.69E-01,132.664,133.248,120.65,120.65,261.29,261.29,260.35,260.35,142.85,260.35,86.842,36.63
Step [6],23.978,49.938,-1.242,22.641,1.245,8.26E-02,-8.37E-01,131.242,131.826,119.228,119.228,259.867,259.867,258.928,258.928,141.427,258.928,84.378,33.936
Step [7],20.117,49.908,-1.363,22.566,1.028,7.19E-02,-1.022,127.381,127.965,115.367,115.367,256.007,256.007,255.067,255.067,137.566,255.067,77.706,26.631
Step [8],14.427,49.861,-1.542,22.447,7.21E-01,5.43E-02,-1.295,121.691,122.276,109.677,109.677,250.317,250.317,249.377,249.377,131.877,249.377,67.912,15.881
Step [9],7.518,49.8,-1.76,22.286,3.65E-01,3.00E-02,-1.631,114.783,115.367,102.768,102.768,243.408,243.408,242.468,242.468,124.968,242.468,56.08,2.848
Step [10],0,49.729,-2,22.092,0,0,-2,107.264,107.848,95.25,95.25,235.89,235.89,234.95,234.95,117.45,234.95,43.271,-11.318
Step [11],-7.518,49.652,-2.242,21.881,-3.42E-01,-3.39E-02,-2.374,99.746,100.33,87.732,87.732,228.371,228.371,227.432,227.432,109.931,227.432,30.528,-25.475
Step [12],-14.427,49.576,-2.466,21.671,-6.35E-01,-6.86E-02,-2.722,92.837,93.421,80.823,80.823,221.463,221.463,220.523,220.523,103.022,220.523,18.87,-38.483
Step [13],-20.117,49.509,-2.653,21.489,-8.62E-01,-9.97E-02,-3.012,87.147,87.732,75.133,75.133,215.773,215.773,214.833,214.833,97.333,214.833,9.305,-49.199
Step [14],-23.978,49.462,-2.781,21.36,-1.009,-1.22E-01,-3.211,83.287,83.871,71.272,71.272,211.912,211.912,210.972,210.972,93.472,210.972,2.831,-56.475
Step [15],-25.4,49.444,-2.828,21.312,-1.061,-1.31E-01,-3.285,81.864,82.448,69.85,69.85,210.49,210.49,209.55,209.55,92.05,209.55,4.49E-01,-59.157
Step [16],-23.978,49.462,-2.781,21.36,-1.009,-1.22E-01,-3.211,83.287,83.871,71.272,71.272,211.912,211.912,210.972,210.972,93.472,210.972,2.831,-56.475
Step [17],-20.117,49.509,-2.653,21.489,-8.62E-01,-9.97E-02,-3.012,87.147,87.732,75.133,75.133,215.773,215.773,214.833,214.833,97.333,214.833,9.305,-49.199
Step [18],-14.427,49.576,-2.466,21.671,-6.35E-01,-6.86E-02,-2.722,92.837,93.421,80.823,80.823,221.463,221.463,220.523,220.523,103.022,220.523,18.87,-38.483
Step [19],-7.518,49.652,-2.242,21.881,-3.42E-01,-3.39E-02,-2.374,99.746,100.33,87.732,87.732,228.371,228.371,227.432,227.432,109.931,227.432,30.528,-25.475
Step [20],0,49.729,-2,22.092,0,0,-2,107.264,107.848,95.25,95.25,235.89,235.89,234.95,234.95,117.45,234.95,43.271,-11.318
