,Motion [Heave] (mm),Mechanical Trail [Left] [Rear] (mm),Mechanical Trail [Left] [Front] (mm),Camber Angle [Left] [Rear] (deg),Camber Angle [Left] [Front] (deg),Toe Angle [Left] [Front] (deg),Toe Angle [Left] [Rear] (deg),Lower A-Arm Chassis Fore Z [Left] [Rear] (mm),Lower A-Arm Chassis Aft Z [Left] [Rear] (mm),Tie Rod Chassis Z [Left] [Rear] (mm),Upper A-Arm Chassis Fore Z [Left] [Rear] (mm),Upper A-Arm Chassis Aft Z [Left] [Rear] (mm),Upper A-Arm Chassis Fore Z [Left] [Front] (mm),Upper A-Arm Chassis Aft Z [Left] [Front] (mm),Lower A-Arm Chassis Fore Z [Left] [Front] (mm),Lower A-Arm Chassis Aft Z [Left] [Front] (mm),Tie Rod Chassis Z [Left] [Front] (mm),Roll Center Z [Rear] (mm),Roll Center Z [Front] (mm)
Maximum Value,25.4,22.083,22.296,-1.63,-7.55E-01,1.344,1.53E-02,146.05,146.05,300.75,300.75,300.75,261.29,261.29,132.664,133.248,1.43E+02,64.829,86.004
Minimum Value,-25.4,21.906,21.613,-2.387,-3.301,-1.073,-9.12E-02,95.25,95.25,249.95,249.95,249.95,210.49,210.49,81.864,82.448,92.05,-3.37E+01,1.92E-01
Average Value,0,22.014,22.029,-2.004,-2.013,6.27E-02,-1.89E-02,120.65,120.65,275.35,275.35,275.35,235.89,235.89,107.264,107.848,117.45,15.478,42.933
Start Value,0,22.031,22.092,-2,-2,0,0,120.65,120.65,275.35,275.35,275.35,235.89,235.89,107.264,107.848,117.45,15.418,42.792
End Value,0,22.031,22.092,-2,-2,0,0,120.65,120.65,275.35,275.35,275.35,235.89,235.89,107.264,107.848,117.45,15.418,42.792
Max Absolute Value,25.4,22.083,22.296,2.387,3.301,1.344,9.12E-02,146.05,146.05,300.75,300.75,300.75,261.29,261.29,132.664,133.248,142.85,64.829,86.004
Variance Value,298.45,3.78E-03,5.71E-02,6.62E-02,7.49E-01,6.78E-01,1.38E-03,298.45,298.45,298.45,298.45,298.45,298.45,298.45,298.45,298.45,298.45,"1,122.56",851.236
Std Deviation Value,17.276,6.15E-02,2.39E-01,2.57E-01,8.66E-01,8.23E-01,3.72E-02,17.276,17.276,17.276,17.276,17.276,17.276,17.276,17.276,17.276,17.276,33.505,29.176
Step [0],0,22.031,22.092,-2,-2,0,0,120.65,120.65,275.35,275.35,275.35,235.89,235.89,107.264,107.848,117.45,15.418,42.792
Step [1],7.518,22.054,22.184,-1.889,-1.626,3.69E-01,1.12E-02,128.168,128.168,282.868,282.868,282.868,243.408,243.408,114.783,115.367,124.968,29.996,55.509
Step [2],14.427,22.069,22.245,-1.788,-1.287,7.30E-01,1.53E-02,135.077,135.077,289.777,289.777,289.777,250.317,250.317,121.691,122.276,131.877,43.421,67.246
Step [3],20.117,22.078,22.279,-1.706,-1.01,1.042,1.41E-02,140.767,140.767,295.467,295.467,295.467,256.007,256.007,127.381,127.965,137.566,54.507,76.954
Step [4],23.978,22.082,22.292,-1.651,-8.23E-01,1.261,1.09E-02,144.628,144.628,299.328,299.328,299.328,259.867,259.867,131.242,131.826,141.427,62.047,83.564
Step [5],25.4,22.083,22.296,-1.63,-7.55E-01,1.344,9.27E-03,146.05,146.05,300.75,300.75,300.75,261.29,261.29,132.664,133.248,1.43E+02,64.829,86.004
Step [6],23.978,22.082,22.292,-1.651,-8.23E-01,1.261,1.09E-02,144.628,144.628,299.328,299.328,299.328,259.867,259.867,131.242,131.826,141.427,62.047,83.564
Step [7],20.117,22.078,22.279,-1.706,-1.01,1.042,1.41E-02,140.767,140.767,295.467,295.467,295.467,256.007,256.007,127.381,127.965,137.566,54.507,76.954
Step [8],14.427,22.069,22.245,-1.788,-1.287,7.30E-01,1.53E-02,135.077,135.077,289.777,289.777,289.777,250.317,250.317,121.691,122.276,131.877,43.421,67.246
Step [9],7.518,22.054,22.184,-1.889,-1.626,3.69E-01,1.12E-02,128.168,128.168,282.868,282.868,282.868,243.408,243.408,114.783,115.367,124.968,29.996,55.509
Step [10],0,22.031,22.092,-2,-2,0,0,120.65,120.65,275.35,275.35,275.35,235.89,235.89,107.264,107.848,117.45,15.418,42.792
Step [11],-7.518,22.002,21.977,-2.112,-2.379,-3.46E-01,-1.84E-02,113.132,113.132,267.832,267.832,267.832,228.371,228.371,99.746,100.33,109.931,8.64E-01,30.128
Step [12],-14.427,21.97,21.851,-2.217,-2.731,-6.42E-01,-4.16E-02,106.223,106.223,260.923,260.923,260.923,221.463,221.463,92.837,93.421,103.022,-12.502,18.534
Step [13],-20.117,21.938,21.733,-2.305,-3.025,-8.72E-01,-6.54E-02,100.533,100.533,255.233,255.233,255.233,215.773,215.773,87.147,87.732,97.333,-23.508,9.013
Step [14],-23.978,21.915,21.646,-2.365,-3.227,-1.02,-8.39E-02,96.672,96.672,251.372,251.372,251.372,211.912,211.912,83.287,83.871,93.472,-30.98,2.565
Step [15],-25.4,21.906,21.613,-2.387,-3.301,-1.073,-9.12E-02,95.25,95.25,249.95,249.95,249.95,210.49,210.49,81.864,82.448,92.05,-3.37E+01,1.92E-01
Step [16],-23.978,21.915,21.646,-2.365,-3.227,-1.02,-8.39E-02,96.672,96.672,251.372,251.372,251.372,211.912,211.912,83.287,83.871,93.472,-30.98,2.565
Step [17],-20.117,21.938,21.733,-2.305,-3.025,-8.72E-01,-6.54E-02,100.533,100.533,255.233,255.233,255.233,215.773,215.773,87.147,87.732,97.333,-23.508,9.013
Step [18],-14.427,21.97,21.851,-2.217,-2.731,-6.42E-01,-4.16E-02,106.223,106.223,260.923,260.923,260.923,221.463,221.463,92.837,93.421,103.022,-12.502,18.534
Step [19],-7.518,22.002,21.977,-2.112,-2.379,-3.46E-01,-1.84E-02,113.132,113.132,267.832,267.832,267.832,228.371,228.371,99.746,100.33,109.931,8.64E-01,30.128
Step [20],0,22.031,22.092,-2,-2,0,0,120.65,120.65,275.35,275.35,275.35,235.89,235.89,107.264,107.848,117.45,15.418,42.792
