,Motion [Heave] (mm),Toe Angle [Left] [Front] (deg),Toe Angle [Left] [Rear] (deg),Camber Angle [Left] [Front] (deg),Camber Angle [Left] [Rear] (deg),Mechanical Trail [Left] [Front] (mm),Mechanical Trail [Left] [Rear] (mm),Tie Rod Chassis Z [Left] [Rear] (mm),Lower A-Arm Chassis Aft Z [Left] [Rear] (mm),Lower A-Arm Chassis Fore Z [Left] [Rear] (mm),Upper A-Arm Chassis Aft Z [Left] [Rear] (mm),Upper A-Arm Chassis Fore Z [Left] [Rear] (mm),Roll Center Z [Rear] (mm),Roll Center Z [Front] (mm),Upper A-Arm Chassis Fore Z [Left] [Rear] (mm),Upper A-Arm Chassis Aft Z [Left] [Rear] (mm),Tie Rod Chassis Z [Left] [Rear] (mm),Roll Center Z [Front] (mm),Roll Center Z [Rear] (mm)
Maximum Value,25.4,1.344,9.62E-03,-7.55E-01,-1.63E+00,22.296,4.98E+01,300.75,146.05,146.05,300.75,300.75,64.707,86.004,300.75,300.75,300.75,86.004,64.824
Minimum Value,-25.4,-1.073,-5.76E-02,-3.301,-2.383,21.613,4.96E+01,249.95,95.25,95.25,249.95,249.95,-33.233,1.92E-01,249.95,249.95,2.50E+02,1.92E-01,-33.708
Average Value,0,6.27E-02,-1.20E-02,-2.013,-2.003,2.20E+01,4.97E+01,275.35,120.65,120.65,275.35,275.35,15.669,42.933,275.35,275.35,275.35,42.933,15.488
Start Value,0,0,0,-2,-2,22.092,49.729,275.35,120.65,120.65,275.35,275.35,15.61,42.792,275.35,275.35,275.35,42.792,15.427
End Value,0,0,0,-2,-2,22.092,49.729,275.35,120.65,120.65,275.35,275.35,15.61,42.792,275.35,275.35,275.35,42.792,15.427
Max Absolute Value,25.4,1.344,5.76E-02,3.301,2.383,22.296,4.98E+01,300.75,146.05,146.05,300.75,300.75,64.707,86.004,300.75,300.75,300.75,86.004,64.824
Variance Value,298.45,6.78E-01,0.00E+00,7.49E-01,6.53E-02,5.71E-02,2.61E-03,298.45,298.45,298.45,298.45,298.45,"1,108.45",851.236,298.45,298.45,298.45,851.24,"1,121.86"
Std Deviation Value,17.276,8.23E-01,2.34E-02,8.66E-01,2.55E-01,2.39E-01,5.11E-02,17.276,17.276,17.276,17.276,17.276,33.293,29.176,17.276,17.276,17.276,29.176,33.494
Step [0],0,0,0,-2,-2,22.092,49.729,275.35,120.65,120.65,275.35,275.35,15.61,42.792,275.35,275.35,275.35,42.792,15.427
Step [1],7.518,3.69E-01,7.08E-03,-1.626,-1.89,2.22E+01,4.97E+01,282.868,128.168,128.168,282.868,282.868,30.096,55.509,282.868,282.868,282.868,55.509,30
