,Motion [Heave] (mm),Caster Angle [Left] [Front] (deg),Caster Angle [Left] [Rear] (deg),Mechanical Trail [Left] [Front] (mm),Mechanical Trail [Left] [Rear] (mm),Toe Angle [Left] [Front] (deg),Toe Angle [Left] [Rear] (deg),Camber Angle [Left] [Front] (deg),Camber Angle [Left] [Rear] (deg),Lower A-Arm Chassis Fore Z [Left] [Rear] (mm),Lower A-Arm Chassis Aft Z [Left] [Rear] (mm),Upper A-Arm Chassis Fore Z [Left] [Rear] (mm),Upper A-Arm Chassis Aft Z [Left] [Rear] (mm),Tie Rod Chassis Z [Left] [Rear] (mm),Roll Center Z [Front] (mm),Roll Center Z [Rear] (mm)
Maximum Value,25.4,8.676,1.48E-01,22.096,5.15E-01,2.61E-01,2.86E-01,-9.58E-01,-1.636,146.05,146.05,300.75,300.75,300.75,73.941,64.443
Minimum Value,-25.4,8.645,-1.51E-01,22.025,-2.80E-01,-3.07E-02,-3.83E-02,-3.102,-2.371,95.25,95.25,249.95,249.95,249.95,-11.882,-34.63
Average Value,0,8.665,0,22.076,5.43E-02,6.08E-02,6.42E-02,-2.014,-2.002,120.65,120.65,275.35,275.35,275.35,30.898,14.853
Start Value,0,8.675,0,22.092,0,0,0,-2,-2,120.65,120.65,275.35,275.35,275.35,30.785,14.808
End Value,0,8.675,0,22.092,0,0,0,-2,-2,120.65,120.65,275.35,275.35,275.35,30.785,14.808
Max Absolute Value ,25.4,8.676,1.51E-01,22.096,5.15E-01,2.61E-01,2.86E-01,3.102,2.371,146.05,146.05,300.75,300.75,300.75,73.941,64.443
Variance Value,298.45,0,1.03E-02,0,7.52E-02,9.98E-03,1.24E-02,5.31E-01,6.24E-02,298.45,298.45,298.45,298.45,298.45,851.457,"1,133.76"
Std Deviation Value,17.276,9.55E-03,1.01E-01,2.39E-02,2.74E-01,9.99E-02,1.12E-01,7.29E-01,2.50E-01,17.276,17.276,17.276,17.276,17.276,29.18,33.671
Step [0],0,8.675,0,22.092,0,0,0,-2,-2,120.65,120.65,275.35,275.35,275.35,30.785,14.808
Step [1],7.518,8.67,4.39E-02,22.082,1.29E-01,-2.65E-02,-3.10E-02,-1.686,-1.892,128.168,128.168,282.868,282.868,282.868,43.498,29.448
Step [2],14.427,8.663,8.42E-02,22.066,2.65E-01,-3.07E-02,-3.83E-02,-1.402,-1.793,135.077,135.077,289.777,289.777,289.777,55.223,42.931
Step [3],20.117,8.655,1.17E-01,22.047,3.89E-01,-2.00E-02,-2.91E-02,-1.171,-1.711,140.767,140.767,295.467,295.467,295.467,64.913,54.068
Step [4],23.978,8.648,1.40E-01,22.031,4.80E-01,-5.36E-03,-1.50E-02,-1.015,-1.656,144.628,144.628,299.328,299.328,299.328,71.508,61.646
Step [5],25.4,8.645,1.48E-01,22.025,5.15E-01,1.51E-03,-8.18E-03,-9.58E-01,-1.636,146.05,146.05,300.75,300.75,300.75,73.941,64.443
Step [6],23.978,8.648,1.40E-01,22.031,4.80E-01,-5.36E-03,-1.50E-02,-1.015,-1.656,144.628,144.628,299.328,299.328,299.328,71.508,61.646
Step [7],20.117,8.655,1.17E-01,22.047,3.89E-01,-2.00E-02,-2.91E-02,-1.171,-1.711,140.767,140.767,295.467,295.467,295.467,64.913,54.068
Step [8],14.427,8.663,8.42E-02,22.066,2.65E-01,-3.07E-02,-3.83E-02,-1.402,-1.793,135.077,135.077,289.777,289.777,289.777,55.223,42.931
Step [9],7.518,8.67,4.39E-02,22.082,1.29E-01,-2.65E-02,-3.10E-02,-1.686,-1.892,128.168,128.168,282.868,282.868,282.868,43.498,29.448
Step [10],0,8.675,0,22.092,0,0,0,-2,-2,120.65,120.65,275.35,275.35,275.35,30.785,14.808
Step [11],-7.518,8.676,-4.42E-02,22.096,-1.08E-01,4.94E-02,5.52E-02,-2.319,-2.109,113.132,113.132,267.832,267.832,267.832,18.114,1.85E-01
Step [12],-14.427,8.673,-8.50E-02,22.095,-1.89E-01,1.15E-01,1.28E-01,-2.617,-2.209,106.223,106.223,260.923,260.923,260.923,6.504,-13.252
Step [13],-20.117,8.669,-1.19E-01,22.092,-2.42E-01,1.85E-01,2.03E-01,-2.867,-2.293,100.533,100.533,255.233,255.233,255.233,-3.037,-24.329
Step [14],-23.978,8.665,-1.42E-01,22.089,-2.71E-01,2.40E-01,2.63E-01,-3.038,-2.35,96.672,96.672,251.372,251.372,251.372,-9.502,-31.855
Step [15],-25.4,8.663,-1.51E-01,22.088,-2.80E-01,2.61E-01,2.86E-01,-3.102,-2.371,95.25,95.25,249.95,249.95,249.95,-11.882,-34.63
Step [16],-23.978,8.665,-1.42E-01,22.089,-2.71E-01,2.40E-01,2.63E-01,-3.038,-2.35,96.672,96.672,251.372,251.372,251.372,-9.502,-31.855
Step [17],-20.117,8.669,-1.19E-01,22.092,-2.42E-01,1.85E-01,2.03E-01,-2.867,-2.293,100.533,100.533,255.233,255.233,255.233,-3.037,-24.329
Step [18],-14.427,8.673,-8.50E-02,22.095,-1.89E-01,1.15E-01,1.28E-01,-2.617,-2.209,106.223,106.223,260.923,260.923,260.923,6.504,-13.252
Step [19],-7.518,8.676,-4.42E-02,22.096,-1.08E-01,4.94E-02,5.52E-02,-2.319,-2.109,113.132,113.132,267.832,267.832,267.832,18.114,1.85E-01
Step [20],0,8.675,0,22.092,0,0,0,-2,-2,120.65,120.65,275.35,275.35,275.35,30.785,14.808
