,Camber Angle [Left] [Rear] (deg),Toe Angle [Left] [Rear] (deg),Toe Angle [Left] [Front] (deg),Camber Angle [Left] [Front] (deg),Mechanical Trail [Left] [Front] (mm),Mechanical Trail [Left] [Rear] (mm),Lower A-Arm Chassis Fore Z [Left] [Rear] (mm),Lower A-Arm Chassis Aft Z [Left] [Rear] (mm),Upper A-Arm Chassis Aft Z [Left] [Rear] (mm),Upper A-Arm Chassis Fore Z [Left] [Rear] (mm),Tie Rod Chassis Z [Left] [Rear] (mm),Roll Center Z [Rear] (mm),Roll Center Z [Front] (mm),Scrub Radius [Left] [Front] (mm),Scrub Radius [Left] [Rear] (mm),Motion [Heave] (mm)
Maximum Value,-1.64E+00,2.51E-01,2.61E-01,-9.58E-01,22.096,5.17E-01,146.05,146.05,300.75,300.75,300.75,64.522,73.941,5.665,47.531,25.4
Minimum Value,-2.37E+00,-3.26E-02,-3.07E-02,-3.102,22.025,-3.08E-01,95.25,95.25,249.95,249.95,249.95,-34.986,-11.882,5.561,47.528,-25.4
Average Value,-2.00E+00,5.69E-02,6.08E-02,-2.014,22.076,4.83E-02,120.65,120.65,275.35,275.35,275.35,14.72,30.898,5.633,47.529,0
Start Value,-2,0,0,-2,22.092,0,120.65,120.65,275.35,275.35,275.35,14.679,30.785,5.656,47.528,0
End Value,-2,0,0,-2,22.092,0,120.65,120.65,275.35,275.35,275.35,14.679,30.785,5.656,47.528,0
Max Absolute Value,2.37E+00,2.51E-01,2.61E-01,3.102,22.096,5.17E-01,146.05,146.05,300.75,300.75,300.75,64.522,73.941,5.665,47.531,25.4
Variance Value,6.15E-02,9.49E-03,9.98E-03,5.31E-01,0.00E+00,8.05E-02,2.98E+02,298.45,298.45,298.45,298.45,"1,143.75",851.457,0.00,0,298.45
Std Deviation Value,2.48E-01,9.74E-02,9.99E-02,7.29E-01,2.39E-02,2.84E-01,1.73E+01,17.276,17.276,17.276,17.276,33.819,29.18,3.52E-02,0,17.276
Step [0],-2,0,0,-2,22.092,0,120.65,120.65,275.35,275.35,275.35,14.679,30.785,5.656,47.528,0
Step [1],-1.89E+00,-2.68E-02,-2.65E-02,-1.686,22.082,1.32E-01,128.168,128.168,282.868,282.868,282.868,29.382,43.498,5.664,47.529,7.518
Step [2],-1.79E+00,-3.26E-02,-3.07E-02,-1.402,22.066,2.69E-01,135.077,135.077,289.777,289.777,289.777,42.923,55.223,5.665,47.529,14.427
Step [3],-1.71E+00,-2.39E-02,-2.00E-02,-1.171,22.047,3.93E-01,140.767,140.767,295.467,295.467,295.467,54.105,64.913,5.66,47.529,20.117
Step [4],-1.66E+00,-1.11E-02,-5.36E-03,-1.015,22.031,4.83E-01,144.628,144.628,299.328,299.328,299.328,61.714,71.508,5.654,47.529,23.978
Step [5],-1.64E+00,-4.97E-03,1.51E-03,-9.58E-01,22.025,5.17E-01,146.05,146.05,300.75,300.75,300.75,64.522,73.941,5.651,47.529,25.4
Step [6],-1.66E+00,-1.11E-02,-5.36E-03,-1.015,22.031,4.83E-01,144.628,144.628,299.328,299.328,299.328,61.714,71.508,5.654,47.529,23.978
Step [7],-1.71E+00,-2.39E-02,-2.00E-02,-1.171,22.047,3.93E-01,140.767,140.767,295.467,295.467,295.467,54.105,64.913,5.66,47.529,20.117
Step [8],-1.79E+00,-3.26E-02,-3.07E-02,-1.402,22.066,2.69E-01,135.077,135.077,289.777,289.777,289.777,42.923,55.223,5.665,47.529,14.427
Step [9],-1.89E+00,-2.68E-02,-2.65E-02,-1.686,22.082,1.32E-01,128.168,128.168,282.868,282.868,282.868,29.382,43.498,5.664,47.529,7.518
Step [10],-2,0,0,-2,22.092,0,120.65,120.65,275.35,275.35,275.35,14.679,30.785,5.656,47.528,0
Step [11],-2.11E+00,4.82E-02,4.94E-02,-2.319,22.096,-1.14E-01,113.132,113.132,267.832,267.832,267.832,-9.08E-03,18.114,5.638,47.529,-7.518
Step [12],-2.21E+00,1.12E-01,1.15E-01,-2.617,22.095,-2.02E-01,106.223,106.223,260.923,260.923,260.923,-13.508,6.504,5.614,47.529,-14.427
Step [13],-2.29E+00,1.78E-01,1.85E-01,-2.867,22.092,-2.62E-01,100.533,100.533,255.233,255.233,255.233,-24.636,-3.037,5.589,47.53,-20.117
Step [14],-2.35E+00,2.30E-01,2.40E-01,-3.038,22.089,-2.97E-01,96.672,96.672,251.372,251.372,251.372,-32.198,-9.502,5.57E+00,47.531,-23.978
Step [15],-2.37E+00,2.51E-01,2.61E-01,-3.102,22.088,-3.08E-01,95.25,95.25,249.95,249.95,249.95,-34.986,-11.882,5.561,47.531,-25.4
Step [16],-2.35E+00,2.30E-01,2.40E-01,-3.038,22.089,-2.97E-01,96.672,96.672,251.372,251.372,251.372,-32.198,-9.502,5.57E+00,47.531,-23.978
Step [17],-2.29E+00,1.78E-01,1.85E-01,-2.867,22.092,-2.62E-01,100.533,100.533,255.233,255.233,255.233,-24.636,-3.037,5.589,47.53,-20.117
Step [18],-2.21E+00,1.12E-01,1.15E-01,-2.617,22.095,-2.02E-01,106.223,106.223,260.923,260.923,260.923,-13.508,6.504,5.614,47.529,-14.427
Step [19],-2.11E+00,4.82E-02,4.94E-02,-2.319,22.096,-1.14E-01,113.132,113.132,267.832,267.832,267.832,-9.08E-03,18.114,5.638,47.529,-7.518
Step [20],-2,0,0,-2,22.092,0,120.65,120.65,275.35,275.35,275.35,14.679,30.785,5.656,47.528,0
