,Camber Angle [Left] [Rear] (deg),Toe Angle [Left] [Rear] (deg),Toe Angle [Left] [Front] (deg),Camber Angle [Left] [Front] (deg),Mechanical Trail [Left] [Front] (mm),Mechanical Trail [Left] [Rear] (mm),Upper A-Arm Chassis Aft Z [Left] [Rear] (mm),Upper A-Arm Chassis Fore Z [Left] [Rear] (mm),Tie Rod Chassis Z [Left] [Rear] (mm),Roll Center Z [Rear] (mm),Roll Center Z [Front] (mm),Scrub Radius [Left] [Front] (mm),Scrub Radius [Left] [Rear] (mm),Wheel Center X [Left] [Rear] (mm),Wheel Center Y [Left] [Rear] (mm),Wheel Center Z [Left] [Rear] (mm),Motion [Heave] (mm),Lower A-Arm Chassis Aft Z [Left] [Rear] (mm),Lower A-Arm Chassis Fore Z [Left] [Rear] (mm)
Maximum Value,-1.439,7.56E-02,2.61E-01,-9.58E-01,22.096,8.66E-01,302.42,301.4,146.201,68.428,73.941,5.665,10.059,"-1,549.39",588.667,203.136,25.4,146.05,146.05
Minimum Value,-2.723,0,-3.07E-02,-3.102,22.025,-4.08E-01,251.62,250.6,95.401,-10.36,-11.882,5.561,10.01,"-1,550.08",586.265,202.971,-25.4,95.25,95.25
Average Value,-2.037,2.68E-02,6.08E-02,-2.014,22.076,1.06E-01,277.02,276,120.801,28.873,30.898,5.633,10.033,"-1,549.86",587.915,203.066,0,120.65,120.65
Start Value,-2,0,0,-2,22.092,0,277.02,276,120.801,28.735,30.785,5.656,10.031,"-1,550.00",588.437,203.076,0,120.65,120.65
End Value,-2,0,0,-2,22.092,0,277.02,276,120.801,28.735,30.785,5.656,10.031,"-1,550.00",588.437,203.076,0,120.65,120.65
Max Absolute Value,2.723,7.56E-02,2.61E-01,3.102,22.096,8.66E-01,302.42,301.4,146.201,68.428,73.941,5.665,10.059,"1,550.08",588.667,203.136,25.4,146.05,146.05
Variance Value,1.91E-01,0,9.98E-03,5.31E-01,0,1.94E-01,298.45,298.45,298.45,717.558,851.457,1.24E-03,0,5.70E-02,6.68E-01,3.16E-03,298.45,298.45,298.45
Std Deviation Value,4.38E-01,2.35E-02,9.99E-02,7.29E-01,2.39E-02,4.40E-01,17.276,17.276,17.276,26.787,29.18,3.52E-02,1.65E-02,2.39E-01,8.17E-01,5.63E-02,17.276,17.276,17.276
Step [0],-2,0,0,-2,22.092,0,277.02,276,120.801,28.735,30.785,5.656,10.031,"-1,550.00",588.437,203.076,0,120.65,120.65
Step [1],-1.817,8.77E-03,-2.65E-02,-1.686,22.082,2.07E-01,284.538,283.518,128.319,40.412,43.498,5.664,10.024,"-1,550.07",588.648,203.098,7.518,128.168,128.168
