,Camber Angle [Left] [Rear] (deg),Toe Angle [Left] [Rear] (deg),Toe Angle [Left] [Front] (deg),Camber Angle [Left] [Front] (deg),Mechanical Trail [Left] [Front] (mm),Mechanical Trail [Left] [Rear] (mm),Lower A-Arm Chassis Fore Z [Left] [Rear] (mm),Lower A-Arm Chassis Aft Z [Left] [Rear] (mm),Upper A-Arm Chassis Aft Z [Left] [Rear] (mm),Upper A-Arm Chassis Fore Z [Left] [Rear] (mm),Tie Rod Chassis Z [Left] [Rear] (mm),Roll Center Z [Rear] (mm),Roll Center Z [Front] (mm),Scrub Radius [Left] [Front] (mm),Scrub Radius [Left] [Rear] (mm),Motion [Heave] (mm)
Maximum Value,-1.64E+00,2.93E-01,2.61E-01,-9.58E-01,22.096,5.06E-01,146.05,146.05,300.75,300.75,300.75,60.427,73.941,5.665,5.36E+00,25.4
Minimum Value,-2.44E+00,-4.00E-02,-3.07E-02,-3.102,22.025,-3.58E-01,95.25,95.25,249.95,249.95,249.95,-26.862,-11.882,5.561,5.34E+00,-25.4
Average Value,-2.02E+00,6.56E-02,6.08E-02,-2.014,22.076,3.40E-02,120.65,120.65,275.35,275.35,275.35,16.697,30.898,5.633,5.35E+00,0
Start Value,-2,0,0,-2,22.092,0,120.65,120.65,275.35,275.35,275.35,16.623,30.785,5.656,5.35E+00,0
End Value,-2,0,0,-2,22.092,0,120.65,120.65,275.35,275.35,275.35,16.623,30.785,5.656,5.35E+00,0
Max Absolute Value,2.44E+00,2.93E-01,2.61E-01,3.102,22.096,5.06E-01,146.05,146.05,300.75,300.75,300.75,60.427,73.941,5.665,5.36E+00,25.4
Variance Value,7.42E-02,1.31E-02,9.98E-03,5.31E-01,0.00E+00,8.73E-02,2.98E+02,298.45,298.45,298.45,298.45,880.54,851.457,0.00,0,298.45
Std Deviation Value,2.72E-01,1.14E-01,9.99E-02,7.29E-01,2.39E-02,2.95E-01,1.73E+01,17.276,17.276,17.276,17.276,29.674,29.18,3.52E-02,6.37E-03,17.276
Step [0],-2,0,0,-2,22.092,0,120.65,120.65,275.35,275.35,275.35,16.623,30.785,5.656,5.35E+00,0
Step [1],-1.89E+00,-3.23E-02,-2.65E-02,-1.686,22.082,1.35E-01,128.168,128.168,282.868,282.868,282.868,29.539,43.498,5.664,5.35E+00,7.518
Step [2],-1.79E+00,-4.00E-02,-3.07E-02,-1.402,22.066,2.70E-01,135.077,135.077,289.777,289.777,289.777,41.441,55.223,5.665,5.34E+00,14.427
Step [3],-1.71E+00,-3.05E-02,-2.00E-02,-1.171,22.047,3.89E-01,140.767,140.767,295.467,295.467,295.467,51.271,64.913,5.66,5.34E+00,20.117
Step [4],-1.66E+00,-1.57E-02,-5.36E-03,-1.015,22.031,4.74E-01,144.628,144.628,299.328,299.328,299.328,57.959,71.508,5.654,5.34E+00,23.978
Step [5],-1.64E+00,-8.57E-03,1.51E-03,-9.58E-01,22.025,5.06E-01,146.05,146.05,300.75,300.75,300.75,60.427,73.941,5.651,5.34E+00,25.4
Step [6],-1.66E+00,-1.57E-02,-5.36E-03,-1.015,22.031,4.74E-01,144.628,144.628,299.328,299.328,299.328,57.959,71.508,5.654,5.34E+00,23.978
Step [7],-1.71E+00,-3.05E-02,-2.00E-02,-1.171,22.047,3.89E-01,140.767,140.767,295.467,295.467,295.467,51.271,64.913,5.66,5.34E+00,20.117
Step [8],-1.79E+00,-4.00E-02,-3.07E-02,-1.402,22.066,2.70E-01,135.077,135.077,289.777,289.777,289.777,41.441,55.223,5.665,5.34E+00,14.427
Step [9],-1.89E+00,-3.23E-02,-2.65E-02,-1.686,22.082,1.35E-01,128.168,128.168,282.868,282.868,282.868,29.539,43.498,5.664,5.35E+00,7.518
Step [10],-2,0,0,-2,22.092,0,120.65,120.65,275.35,275.35,275.35,16.623,30.785,5.656,5.35E+00,0
Step [11],-2.12E+00,5.70E-02,4.94E-02,-2.319,22.096,-1.22E-01,113.132,113.132,267.832,267.832,267.832,3.73E+00,18.114,5.638,5.35E+00,-7.518
Step [12],-2.24E+00,1.31E-01,1.15E-01,-2.617,22.095,-2.23E-01,106.223,106.223,260.923,260.923,260.923,-8.093,6.504,5.614,5.35E+00,-14.427
Step [13],-2.34E+00,2.08E-01,1.85E-01,-2.867,22.092,-2.97E-01,100.533,100.533,255.233,255.233,255.233,-17.826,-3.037,5.589,5.36E+00,-20.117
Step [14],-2.42E+00,2.69E-01,2.40E-01,-3.038,22.089,-3.42E-01,96.672,96.672,251.372,251.372,251.372,-24.429,-9.502,5.57E+00,5.36E+00,-23.978
Step [15],-2.44E+00,2.93E-01,2.61E-01,-3.102,22.088,-3.58E-01,95.25,95.25,249.95,249.95,249.95,-26.862,-11.882,5.561,5.36E+00,-25.4
Step [16],-2.42E+00,2.69E-01,2.40E-01,-3.038,22.089,-3.42E-01,96.672,96.672,251.372,251.372,251.372,-24.429,-9.502,5.57E+00,5.36E+00,-23.978
Step [17],-2.34E+00,2.08E-01,1.85E-01,-2.867,22.092,-2.97E-01,100.533,100.533,255.233,255.233,255.233,-17.826,-3.037,5.589,5.36E+00,-20.117
Step [18],-2.24E+00,1.31E-01,1.15E-01,-2.617,22.095,-2.23E-01,106.223,106.223,260.923,260.923,260.923,-8.093,6.504,5.614,5.35E+00,-14.427
Step [19],-2.12E+00,5.70E-02,4.94E-02,-2.319,22.096,-1.22E-01,113.132,113.132,267.832,267.832,267.832,3.73E+00,18.114,5.638,5.35E+00,-7.518
Step [20],-2,0,0,-2,22.092,0,120.65,120.65,275.35,275.35,275.35,16.623,30.785,5.656,5.35E+00,0
