,Camber Angle [Left] [Rear] (deg),Toe Angle [Left] [Rear] (deg),Toe Angle [Left] [Front] (deg),Camber Angle [Left] [Front] (deg),Mechanical Trail [Left] [Front] (mm),Mechanical Trail [Left] [Rear] (mm),Lower A-Arm Chassis Fore Z [Left] [Rear] (mm),Lower A-Arm Chassis Aft Z [Left] [Rear] (mm),Upper A-Arm Chassis Aft Z [Left] [Rear] (mm),Upper A-Arm Chassis Fore Z [Left] [Rear] (mm),Tie Rod Chassis Z [Left] [Rear] (mm),Roll Center Z [Rear] (mm),Roll Center Z [Front] (mm),Scrub Radius [Left] [Front] (mm),Scrub Radius [Left] [Rear] (mm),Motion [Heave] (mm)
Maximum Value,-1.65E+00,2.70E-01,2.61E-01,-9.58E-01,22.096,4.95E-01,146.05,146.05,300.75,300.75,300.75,59.301,73.941,5.665,-8.88E-02,25.4
Minimum Value,-2.42E+00,-3.64E-02,-3.07E-02,-3.102,22.025,-3.96E-01,95.25,95.25,249.95,249.95,249.95,-27.185,-11.882,5.561,-9.04E-02,-25.4
Average Value,-2.02E+00,6.07E-02,6.08E-02,-2.014,22.076,2.28E-02,120.65,120.65,275.35,275.35,275.35,15.989,30.898,5.633,-9.00E-02,0
Start Value,-2,0,0,-2,22.092,0,120.65,120.65,275.35,275.35,275.35,15.929,30.785,5.656,-9.04E-02,0
End Value,-2,0,0,-2,22.092,0,120.65,120.65,275.35,275.35,275.35,15.929,30.785,5.656,-9.04E-02,0
Max Absolute Value,2.42E+00,2.70E-01,2.61E-01,3.102,22.096,4.95E-01,146.05,146.05,300.75,300.75,300.75,59.301,73.941,5.665,9.04E-02,25.4
Variance Value,6.86E-02,1.11E-02,9.98E-03,5.31E-01,0.00E+00,9.24E-02,2.98E+02,298.45,298.45,298.45,298.45,864.44,851.457,0.00,0,298.45
Std Deviation Value,2.62E-01,1.05E-01,9.99E-02,7.29E-01,2.39E-02,3.04E-01,1.73E+01,17.276,17.276,17.276,17.276,29.401,29.18,3.52E-02,0,17.276
Step [0],-2,0,0,-2,22.092,0,120.65,120.65,275.35,275.35,275.35,15.929,30.785,5.656,-9.04E-02,0
Step [1],-1.89E+00,-2.95E-02,-2.65E-02,-1.686,22.082,1.37E-01,128.168,128.168,282.868,282.868,282.868,28.725,43.498,5.664,-9.03E-02,7.518
Step [2],-1.79E+00,-3.64E-02,-3.07E-02,-1.402,22.066,2.70E-01,135.077,135.077,289.777,289.777,289.777,40.51,55.223,5.665,-9.02E-02,14.427
Step [3],-1.72E+00,-2.74E-02,-2.00E-02,-1.171,22.047,3.84E-01,140.767,140.767,295.467,295.467,295.467,50.241,64.913,5.66,-9.02E-02,20.117
Step [4],-1.67E+00,-1.37E-02,-5.36E-03,-1.015,22.031,4.65E-01,144.628,144.628,299.328,299.328,299.328,56.859,71.508,5.654,-9.03E-02,23.978
Step [5],-1.65E+00,-7.08E-03,1.51E-03,-9.58E-01,22.025,4.95E-01,146.05,146.05,300.75,300.75,300.75,59.301,73.941,5.651,-9.04E-02,25.4
Step [6],-1.67E+00,-1.37E-02,-5.36E-03,-1.015,22.031,4.65E-01,144.628,144.628,299.328,299.328,299.328,56.859,71.508,5.654,-9.03E-02,23.978
