,Motion [Heave] (mm),Mechanical Trail [Left] [Rear] (mm),Mechanical Trail [Left] [Front] (mm),Camber Angle [Left] [Rear] (deg),Camber Angle [Left] [Front] (deg),Toe Angle [Left] [Front] (deg),Toe Angle [Left] [Rear] (deg),Lower A-Arm Chassis Fore Z [Left] [Rear] (mm),Lower A-Arm Chassis Aft Z [Left] [Rear] (mm),Tie Rod Chassis Z [Left] [Rear] (mm),Upper A-Arm Chassis Fore Z [Left] [Rear] (mm),Upper A-Arm Chassis Aft Z [Left] [Rear] (mm),Upper A-Arm Chassis Fore Z [Left] [Front] (mm),Upper A-Arm Chassis Aft Z [Left] [Front] (mm),Lower A-Arm Chassis Fore Z [Left] [Front] (mm),Lower A-Arm Chassis Aft Z [Left] [Front] (mm),Tie Rod Chassis Z [Left] [Front] (mm),Roll Center Z [Rear] (mm),Roll Center Z [Front] (mm)
Maximum Value,25.4,22.145,22.296,-1.338,-7.55E-01,1.344,4.35E-02,146.05,146.05,290.75,290.75,290.75,261.29,261.29,132.664,133.248,1.43E+02,78.699,86.004
Minimum Value,-25.4,21.848,21.613,-2.68,-3.301,-1.073,-1.15E-01,95.25,95.25,239.95,239.95,239.95,210.49,210.49,81.864,82.448,92.05,-1.81E+01,1.92E-01
Average Value,0,22.015,22.029,-2.004,-2.013,6.27E-02,-1.66E-02,120.65,120.65,265.35,265.35,265.35,235.89,235.89,107.264,107.848,117.45,30.21,42.933
Start Value,0,22.031,22.092,-2,-2,0,0,120.65,120.65,265.35,265.35,265.35,235.89,235.89,107.264,107.848,117.45,30.115,42.792
End Value,0,22.031,22.092,-2,-2,0,0,120.65,120.65,265.35,265.35,265.35,235.89,235.89,107.264,107.848,117.45,30.115,42.792
Max Absolute Value,25.4,22.145,22.296,2.68,3.301,1.344,1.15E-01,146.05,146.05,290.75,290.75,290.75,261.29,261.29,132.664,133.248,142.85,78.699,86.004
Variance Value,298.45,1.03E-02,5.71E-02,2.08E-01,7.49E-01,6.78E-01,3.07E-03,298.45,298.45,298.45,298.45,298.45,298.45,298.45,298.45,298.45,298.45,"1,081.83",851.236
Std Deviation Value,17.276,1.02E-01,2.39E-01,4.56E-01,8.66E-01,8.23E-01,5.54E-02,17.276,17.276,17.276,17.276,17.276,17.276,17.276,17.276,17.276,17.276,32.891,29.176
Step [0],0,22.031,22.092,-2,-2,0,0,120.65,120.65,265.35,265.35,265.35,235.89,235.89,107.264,107.848,117.45,30.115,42.792
Step [1],7.518,22.072,22.184,-1.803,-1.626,3.69E-01,2.02E-02,128.168,128.168,272.868,272.868,272.868,243.408,243.408,114.783,115.367,124.968,44.434,55.509
Step [2],14.427,22.104,22.245,-1.623,-1.287,7.30E-01,3.34E-02,135.077,135.077,279.777,279.777,279.777,250.317,250.317,121.691,122.276,131.877,57.633,67.246
Step [3],20.117,22.127,22.279,-1.475,-1.01,1.042,4.03E-02,140.767,140.767,285.467,285.467,285.467,256.007,256.007,127.381,127.965,137.566,68.538,76.954
Step [4],23.978,22.141,22.292,-1.375,-8.23E-01,1.261,4.30E-02,144.628,144.628,289.328,289.328,289.328,259.867,259.867,131.242,131.826,141.427,75.96,83.564
Step [5],25.4,22.145,22.296,-1.338,-7.55E-01,1.344,4.35E-02,146.05,146.05,290.75,290.75,290.75,261.29,261.29,132.664,133.248,1.43E+02,78.699,86.004
Step [6],23.978,22.141,22.292,-1.375,-8.23E-01,1.261,4.30E-02,144.628,144.628,289.328,289.328,289.328,259.867,259.867,131.242,131.826,141.427,75.96,83.564
Step [7],20.117,22.127,22.279,-1.475,-1.01,1.042,4.03E-02,140.767,140.767,285.467,285.467,285.467,256.007,256.007,127.381,127.965,137.566,68.538,76.954
Step [8],14.427,22.104,22.245,-1.623,-1.287,7.30E-01,3.34E-02,135.077,135.077,279.777,279.777,279.777,250.317,250.317,121.691,122.276,131.877,57.633,67.246
Step [9],7.518,22.072,22.184,-1.803,-1.626,3.69E-01,2.02E-02,128.168,128.168,272.868,272.868,272.868,243.408,243.408,114.783,115.367,124.968,44.434,55.509
Step [10],0,22.031,22.092,-2,-2,0,0,120.65,120.65,265.35,265.35,265.35,235.89,235.89,107.264,107.848,117.45,30.115,42.792
Step [11],-7.518,21.985,21.977,-2.199,-2.379,-3.46E-01,-2.65E-02,113.132,113.132,257.832,257.832,257.832,228.371,228.371,99.746,100.33,109.931,15.832,30.128
Step [12],-14.427,21.937,21.851,-2.383,-2.731,-6.42E-01,-5.64E-02,106.223,106.223,250.923,250.923,250.923,221.463,221.463,92.837,93.421,103.022,2.73,18.534
Step [13],-20.117,21.893,21.733,-2.536,-3.025,-8.72E-01,-8.52E-02,100.533,100.533,245.233,245.233,245.233,215.773,215.773,87.147,87.732,97.333,-8.05,9.013
Step [14],-23.978,21.86,21.646,-2.641,-3.227,-1.02,-1.07E-01,96.672,96.672,241.372,241.372,241.372,211.912,211.912,83.287,83.871,93.472,-15.362,2.565
Step [15],-25.4,21.848,21.613,-2.68,-3.301,-1.073,-1.15E-01,95.25,95.25,239.95,239.95,239.95,210.49,210.49,81.864,82.448,92.05,-1.81E+01,1.92E-01
Step [16],-23.978,21.86,21.646,-2.641,-3.227,-1.02,-1.07E-01,96.672,96.672,241.372,241.372,241.372,211.912,211.912,83.287,83.871,93.472,-15.362,2.565
Step [17],-20.117,21.893,21.733,-2.536,-3.025,-8.72E-01,-8.52E-02,100.533,100.533,245.233,245.233,245.233,215.773,215.773,87.147,87.732,97.333,-8.05,9.013
Step [18],-14.427,21.937,21.851,-2.383,-2.731,-6.42E-01,-5.64E-02,106.223,106.223,250.923,250.923,250.923,221.463,221.463,92.837,93.421,103.022,2.73,18.534
Step [19],-7.518,21.985,21.977,-2.199,-2.379,-3.46E-01,-2.65E-02,113.132,113.132,257.832,257.832,257.832,228.371,228.371,99.746,100.33,109.931,15.832,30.128
Step [20],0,22.031,22.092,-2,-2,0,0,120.65,120.65,265.35,265.35,265.35,235.89,235.89,107.264,107.848,117.45,30.115,42.792
